week,date,quiz,quiz_content,theme,n_class,stub_class,name_class,description_class,n_assign,stub_assign,name_assign,due_assign,n_mini,stub_mini,name_mini,due_mini,n_final,stub_final,name_final,due_final
1,2023/08/30,,,Cleaning,1,getting-started,Getting Started,Class orientation; workflow; importing data; data wrangling & plotting refresher,1,reproducible-reporting,Reproducible Reporting,2023/09/05,,,,,,,,
2,2023/09/06,,,Cleaning,2,reproducible-reporting,Reproducible Reporting,Combinging text and code with Quarto,2,tidy-data,Tidy Data,2023/09/12,,,,,,,,
3,2023/09/13,,,Cleaning,3,tidy-data,Tidy Data,Tidy data; reshaping data; data provenance; writing a research question,3,cleaning-data,Cleaning Data,2023/09/19,,,,,1,proposal,Proposal,2023/09/26
4,2023/09/20,1,Week 3,Cleaning,4,cleaning-data,Cleaning Data,Joins; changing data types; dealing with messy Excel files,4,centrality-variability,Centrality & Variability,2023/09/26,1,data-cleaning,Data Cleaning,2023/10/03,,,,
5,2023/09/27,,,Exploring,5,centrality-variability,Centrality & Variability,Data types & scales; centrality & spread; variation & covariation; plot types,5,correlation,Correlation,2023/10/03,,,,,,,,
6,2023/10/04,2,Weeks 4 - 5,Visualizing,6,correlation,Correlation,Correlation metrics; outliers; visualizing correlations; linear models,6,visualizing-information,Visualizing Information,2023/10/10,,,,,,,,
7,2023/10/11,,,Visualizing,7,visualizing-information,Visualizing Information,"Psychology of graphical perception; preattentive attributes; ugly, bad, & wrong charts; chart design best practices",7,factors-amounts-proportions,Amounts & Proportions,2023/10/17,2,exploring-data,Exploring Data,2023/10/24,,,,
8,2023/10/18,3,Week 6,Visualizing,8,factors-amounts-proportions,"Factors, Amounts, & Proportions","Manipulating factors; plotting amounts with bars, dots, and lollipops; parts of whole",8,comparisons,Comparisons,2023/10/24,,,,,2,progress-report,Progress Report,2023/10/31
9,2023/10/25,,,Visualizing,9,comparisons,Comparisons,Facets; reference lines; dumbbells; slopes; distributions,9,trends,Trends,2023/10/31,,,,,,,,
10,2023/11/01,4,Weeks 7 - 9,Visualizing,10,trends,Trends,Line charts; heat maps; animation,10,polishing-charts,Polishing Charts,2023/11/07,,,,,,,,
11,2023/11/08,,,Visualizing,11,polishing-charts,Polishing Charts,Colors; annotations; scales; themes; multi-panel figures,11,maps,Maps,2023/11/14,3,redesign,Re-design,2023/11/28,,,,
12,2023/11/15,,,Visualizing,12,maps-workshop,Maps & Project Workshop,Maps in ggplot; mapping data to maps; projections; project workshop,12,interactivity,Interactivity,2023/11/28,,,,,,,,
13,2023/11/22,,,,,,Thanksgiving - no class,,,,,,,,,,,,,
14,2023/11/29,5,Weeks 10 - 12,Communicating,13,interactivity,Interactivity,Plotly; interactive tables; shiny apps,13,communicating-results,Communicating Results,2023/12/05,,,,,3,final-report,Final Report,2023/12/10
15,2023/12/06,,,Communicating,14,communicating-results,Communicating Results,Telling stories; slide design; giving a talk,,,,,,,,,4,presentation,Presentation,2023/12/12
16,2023/12/13,,,Communicating,15,final-presentations,Final Presentations,In-class presentation showcase w/Q&A,,,,,,,,,,,,